DataId,KOR
AchievementMonsterKill160,몬스터 킬 160
AchievementMonsterKill170,몬스터 킬 170
AchievementMonsterKill180,몬스터 킬 180
AchievementMonsterKill190,몬스터 킬 190
AchievementMonsterKill200,몬스터 킬 200
AchievementConsumGold1k,골드 소비 1k
AchievementConsumGold2k,골드 소비 2k
AchievementConsumGold3k,골드 소비 3k
AchievementConsumGold4k,골드 소비 4k
AchievementConsumGold5k,골드 소비 5k
AchievementConsumGold6k,골드 소비 6k
AchievementConsumGold7k,골드 소비 7k
AchievementConsumGold8k,골드 소비 8k
AchievementConsumGold9k,골드 소비 9k
AchievementConsumGold10k,골드 소비 10k
AchievementConsumGold11k,골드 소비 11k
AchievementConsumGold12k,골드 소비 12k
AchievementConsumGold13k,골드 소비 13k
AchievementConsumGold14k,골드 소비 14k
AchievementConsumGold15k,골드 소비 15k
AchievementConsumGold16k,골드 소비 16k
AchievementConsumGold17k,골드 소비 17k
AchievementConsumGold18k,골드 소비 18k
AchievementConsumGold19k,골드 소비 19k
AchievementConsumGold20k,골드 소비 20k
AchievementStageClearTimes5,스테이지 클리어 5번
AchievementStageClearTimes10,스테이지 클리어 10번
AchievementStageClearTimes15,스테이지 클리어 15번
AchievementStageClearTimes20,스테이지 클리어 20번
AchievementStageClearTimes25,스테이지 클리어 25번
AchievementStageClearTimes30,스테이지 클리어 30번
AchievementStageClearTimes35,스테이지 클리어 35번
AchievementStageClearTimes40,스테이지 클리어 40번
AchievementStageClearTimes45,스테이지 클리어 45번
AchievementStageClearTimes50,스테이지 클리어 50번
AchievementStageClearTimes55,스테이지 클리어 55번
AchievementStageClearTimes60,스테이지 클리어 60번
AchievementStageClearTimes65,스테이지 클리어 65번
AchievementStageClearTimes70,스테이지 클리어 70번
AchievementStageClearTimes75,스테이지 클리어 75번
AchievementStageClearTimes80,스테이지 클리어 80번
AchievementStageClearTimes85,스테이지 클리어 85번
AchievementStageClearTimes90,스테이지 클리어 90번
AchievementStageClearTimes95,스테이지 클리어 95번
AchievementStageClearTimes100,스테이지 클리어 100번
AchievementStageClearTimes105,스테이지 클리어 105번
AchievementStageClearTimes110,스테이지 클리어 110번
AchievementStageClearTimes115,스테이지 클리어 115번
AchievementStageClearTimes120,스테이지 클리어 120번
AchievementStageClearAtNormal1_1,노멀 1-1 클리어
AchievementStageClearAtNormal1_2,노멀 1-2 클리어
AchievementStageClearAtNormal1_3,노멀 1-3 클리어
AchievementStageClearAtHard1_1,하드 1-1 클리어
AchievementStageClearAtHard1_2,하드 1-2 클리어
AchievementStageClearAtHard1_3,하드 1-3 클리어
AchievementCurrencyGacha10,자원 뽑기 10회
AchievementCurrencyGacha20,자원 뽑기 20회
AchievementCurrencyGacha30,자원 뽑기 30회
AchievementCurrencyGacha40,자원 뽑기 40회
AchievementCurrencyGacha50,자원 뽑기 50회
AchievementCurrencyGacha60,자원 뽑기 60회
AchievementCurrencyGacha70,자원 뽑기 70회
AchievementCurrencyGacha80,자원 뽑기 80회
AchievementCurrencyGacha90,자원 뽑기 90회
AchievementCurrencyGacha100,자원 뽑기 100회
AchievementCurrencyGacha110,자원 뽑기 110회
AchievementCurrencyGacha120,자원 뽑기 120회
AchievementCurrencyGacha130,자원 뽑기 130회
AchievementCurrencyGacha140,자원 뽑기 140회
AchievementCurrencyGacha150,자원 뽑기 150회
AchievementCurrencyGacha160,자원 뽑기 160회
AchievementCurrencyGacha170,자원 뽑기 170회
AchievementCurrencyGacha180,자원 뽑기 180회
AchievementCurrencyGacha190,자원 뽑기 190회
AchievementCurrencyGacha200,자원 뽑기 200회
AchievementCurrencyGacha210,자원 뽑기 210회
AchievementCurrencyGacha220,자원 뽑기 220회
AchievementCurrencyGacha230,자원 뽑기 230회
AchievementCurrencyGacha240,자원 뽑기 240회
AchievementHeroGacha10,영웅 뽑기 10회
AchievementHeroGacha20,영웅 뽑기 20회
AchievementHeroGacha30,영웅 뽑기 30회
AchievementHeroGacha40,영웅 뽑기 40회
AchievementHeroGacha50,영웅 뽑기 50회
AchievementHeroGacha60,영웅 뽑기 60회
AchievementHeroGacha70,영웅 뽑기 70회
AchievementHeroGacha80,영웅 뽑기 80회
AchievementHeroGacha90,영웅 뽑기 90회
AchievementHeroGacha100,영웅 뽑기 100회
AchievementHeroGacha110,영웅 뽑기 110회
AchievementHeroGacha120,영웅 뽑기 120회
AchievementHeroGacha130,영웅 뽑기 130회
AchievementHeroGacha140,영웅 뽑기 140회
AchievementHeroGacha150,영웅 뽑기 150회
AchievementHeroGacha160,영웅 뽑기 160회
AchievementHeroGacha170,영웅 뽑기 170회
AchievementHeroGacha180,영웅 뽑기 180회
AchievementHeroGacha190,영웅 뽑기 190회
AchievementHeroGacha200,영웅 뽑기 200회
AchievementHeroGacha210,영웅 뽑기 210회
AchievementBuddyGacha10,동료 뽑기 10회
AchievementBuddyGacha20,동료 뽑기 20회
AchievementBuddyGacha30,동료 뽑기 30회
AchievementBuddyGacha40,동료 뽑기 40회
AchievementBuddyGacha50,동료 뽑기 50회
AchievementBuddyGacha60,동료 뽑기 60회
AchievementBuddyGacha70,동료 뽑기 70회
AchievementBuddyGacha80,동료 뽑기 80회
AchievementBuddyGacha90,동료 뽑기 90회
AchievementBuddyGacha100,동료 뽑기 100회
AchievementBuddyGacha110,동료 뽑기 110회
AchievementBuddyGacha120,동료 뽑기 120회
AchievementBuddyGacha130,동료 뽑기 130회
AchievementBuddyGacha140,동료 뽑기 140회
AchievementBuddyGacha150,동료 뽑기 150회
AchievementBuddyGacha160,동료 뽑기 160회
AchievementBuddyGacha170,동료 뽑기 170회
AchievementBuddyGacha180,동료 뽑기 180회
AchievementBuddyGacha190,동료 뽑기 190회
AchievementBuddyGacha200,동료 뽑기 200회
AchievementHeroSkillUp10,영웅 스킬 레벨 업 10회
AchievementHeroSkillUp20,영웅 스킬 레벨 업 20회
AchievementHeroSkillUp30,영웅 스킬 레벨 업 30회
AchievementHeroSkillUp40,영웅 스킬 레벨 업 40회
AchievementHeroSkillUp50,영웅 스킬 레벨 업 50회
AchievementHeroSkillUp60,영웅 스킬 레벨 업 60회
AchievementHeroSkillUp70,영웅 스킬 레벨 업 70회
AchievementHeroSkillUp80,영웅 스킬 레벨 업 80회
AchievementHeroSkillUp90,영웅 스킬 레벨 업 90회
AchievementHeroSkillUp100,영웅 스킬 레벨 업 100회
AchievementHeroSkillUp110,영웅 스킬 레벨 업 110회
AchievementHeroSkillUp120,영웅 스킬 레벨 업 120회
AchievementHeroSkillUp130,영웅 스킬 레벨 업 130회
AchievementHeroSkillUp140,영웅 스킬 레벨 업 140회
AchievementHeroSkillUp150,영웅 스킬 레벨 업 150회
AchievementHeroSkillUp160,영웅 스킬 레벨 업 160회
AchievementHeroSkillUp170,영웅 스킬 레벨 업 170회
AchievementHeroSkillUp180,영웅 스킬 레벨 업 180회
AchievementHeroSkillUp190,영웅 스킬 레벨 업 190회
AchievementHeroSkillUp200,영웅 스킬 레벨 업 200회
AchievementHeroSkillUp210,영웅 스킬 레벨 업 210회
AchievementHeroLevelUp10,영웅 레벨 업 10회
AchievementHeroLevelUp20,영웅 레벨 업 20회
AchievementHeroLevelUp30,영웅 레벨 업 30회
AchievementHeroLevelUp40,영웅 레벨 업 40회
AchievementHeroLevelUp50,영웅 레벨 업 50회
AchievementHeroLevelUp60,영웅 레벨 업 60회
AchievementHeroLevelUp70,영웅 레벨 업 70회
AchievementHeroLevelUp80,영웅 레벨 업 80회
AchievementHeroLevelUp90,영웅 레벨 업 90회
AchievementHeroLevelUp100,영웅 레벨 업 100회
AchievementHeroLevelUp110,영웅 레벨 업 110회
AchievementHeroLevelUp120,영웅 레벨 업 120회
AchievementHeroLevelUp130,영웅 레벨 업 130회
AchievementHeroLevelUp140,영웅 레벨 업 140회
AchievementHeroLevelUp150,영웅 레벨 업 150회
AchievementHeroLevelUp160,영웅 레벨 업 160회
AchievementHeroLevelUp170,영웅 레벨 업 170회
AchievementHeroLevelUp180,영웅 레벨 업 180회
AchievementHeroLevelUp190,영웅 레벨 업 190회
AchievementHeroLevelUp200,영웅 레벨 업 200회
AchievementBuddyLevelUp1,동료 레벨 업 1회
AchievementBuddyLevelUp2,동료 레벨 업 2회
AchievementBuddyLevelUp3,동료 레벨 업 3회
AchievementBuddyLevelUp4,동료 레벨 업 4회
AchievementBuddyLevelUp5,동료 레벨 업 5회
AchievementBuddyLevelUp6,동료 레벨 업 6회
AchievementBuddyLevelUp7,동료 레벨 업 7회
AchievementBuddyLevelUp8,동료 레벨 업 8회
AchievementBuddyLevelUp9,동료 레벨 업 9회
AchievementBuddyLevelUp10,동료 레벨 업 10회
AchievementBuddySkillUp1,동료 스킬 레벨 업 1회
AchievementBuddySkillUp2,동료 스킬 레벨 업 2회
AchievementBuddySkillUp3,동료 스킬 레벨 업 3회
AchievementBuddySkillUp4,동료 스킬 레벨 업 4회
AchievementBuddySkillUp5,동료 스킬 레벨 업 5회
AchievementBuddySkillUp6,동료 스킬 레벨 업 6회
AchievementBuddySkillUp7,동료 스킬 레벨 업 7회
AchievementBuddySkillUp8,동료 스킬 레벨 업 8회
AchievementBuddySkillUp9,동료 스킬 레벨 업 9회
AchievementBuddySkillUp10,동료 스킬 레벨 업 10회
