TemplateId,Name,NameTextId,AchievementType,MissionGoal,MissionCount,RewardType,RewardCount,OriginalAchievementId,PreviewAchievementId,NextAchievementId
4000006,스테이지하드1-3클리어,AchievementStageClearAtHard1_3,Normal,StageClearAt,13,Dia,1500,4000001,4000005,
5000001,자원가챠10회,AchievementCurrencyGacha10,Normal,CurrencyGacha,10,ScrollArmor,10,5000001,,5000002
5000002,자원가챠20회,AchievementCurrencyGacha20,Normal,CurrencyGacha,20,ScrollBelt,10,5000001,5000001,5000003
5000003,자원가챠30회,AchievementCurrencyGacha30,Normal,CurrencyGacha,30,ScrollBoots,10,5000001,5000002,5000004
5000004,자원가챠40회,AchievementCurrencyGacha40,Normal,CurrencyGacha,40,ScrollGloves,10,5000001,5000003,5000005
5000005,자원가챠50회,AchievementCurrencyGacha50,Normal,CurrencyGacha,50,ScrollRing,10,5000001,5000004,5000006
5000006,자원가챠60회,AchievementCurrencyGacha60,Normal,CurrencyGacha,60,ScrollWeapon,10,5000001,5000005,5000007
5000007,자원가챠70회,AchievementCurrencyGacha70,Normal,CurrencyGacha,70,ScrollArmor,10,5000001,5000006,5000008
5000008,자원가챠80회,AchievementCurrencyGacha80,Normal,CurrencyGacha,80,ScrollBelt,10,5000001,5000007,5000009
5000009,자원가챠90회,AchievementCurrencyGacha90,Normal,CurrencyGacha,90,ScrollBoots,10,5000001,5000008,5000010
5000010,자원가챠100회,AchievementCurrencyGacha100,Normal,CurrencyGacha,100,ScrollGloves,10,5000001,5000009,5000011
5000011,자원가챠110회,AchievementCurrencyGacha110,Normal,CurrencyGacha,110,ScrollRing,10,5000001,5000010,5000012
5000012,자원가챠120회,AchievementCurrencyGacha120,Normal,CurrencyGacha,120,ScrollWeapon,10,5000001,5000011,5000013
5000013,자원가챠130회,AchievementCurrencyGacha130,Normal,CurrencyGacha,130,ScrollArmor,10,5000001,5000012,5000014
5000014,자원가챠140회,AchievementCurrencyGacha140,Normal,CurrencyGacha,140,ScrollBelt,10,5000001,5000013,5000015
5000015,자원가챠150회,AchievementCurrencyGacha150,Normal,CurrencyGacha,150,ScrollBoots,10,5000001,5000014,5000016
5000016,자원가챠160회,AchievementCurrencyGacha160,Normal,CurrencyGacha,160,ScrollGloves,10,5000001,5000015,5000017
5000017,자원가챠170회,AchievementCurrencyGacha170,Normal,CurrencyGacha,170,ScrollRing,10,5000001,5000016,5000018
5000018,자원가챠180회,AchievementCurrencyGacha180,Normal,CurrencyGacha,180,ScrollWeapon,10,5000001,5000017,5000019
5000019,자원가챠190회,AchievementCurrencyGacha190,Normal,CurrencyGacha,190,ScrollArmor,10,5000001,5000018,5000020
5000020,자원가챠200회,AchievementCurrencyGacha200,Normal,CurrencyGacha,200,ScrollBelt,10,5000001,5000019,5000021
5000021,자원가챠210회,AchievementCurrencyGacha210,Normal,CurrencyGacha,210,ScrollBoots,10,5000001,5000020,5000022
5000022,자원가챠220회,AchievementCurrencyGacha220,Normal,CurrencyGacha,220,ScrollGloves,10,5000001,5000021,5000023
5000023,자원가챠230회,AchievementCurrencyGacha230,Normal,CurrencyGacha,230,ScrollRing,10,5000001,5000022,5000024
5000024,자원가챠240회,AchievementCurrencyGacha240,Normal,CurrencyGacha,240,ScrollWeapon,10,5000001,5000023,
6000001,영웅가챠10회,AchievementHeroGacha10,Normal,HeroGacha,10,BlueGem,10,6000001,,6000002
6000002,영웅가챠20회,AchievementHeroGacha20,Normal,HeroGacha,20,GreenGem,10,6000001,6000001,6000003
6000003,영웅가챠30회,AchievementHeroGacha30,Normal,HeroGacha,30,YellowGem,10,6000001,6000002,6000004
6000004,영웅가챠40회,AchievementHeroGacha40,Normal,HeroGacha,40,BlueGem,10,6000001,6000003,6000005
6000005,영웅가챠50회,AchievementHeroGacha50,Normal,HeroGacha,50,GreenGem,10,6000001,6000004,6000006
6000006,영웅가챠60회,AchievementHeroGacha60,Normal,HeroGacha,60,YellowGem,10,6000001,6000005,6000007
6000007,영웅가챠70회,AchievementHeroGacha70,Normal,HeroGacha,70,BlueGem,10,6000001,6000006,6000008
6000008,영웅가챠80회,AchievementHeroGacha80,Normal,HeroGacha,80,GreenGem,10,6000001,6000007,6000009
6000009,영웅가챠90회,AchievementHeroGacha90,Normal,HeroGacha,90,YellowGem,10,6000001,6000008,6000010
6000010,영웅가챠100회,AchievementHeroGacha100,Normal,HeroGacha,100,BlueGem,10,6000001,6000009,6000011
6000011,영웅가챠110회,AchievementHeroGacha110,Normal,HeroGacha,110,GreenGem,10,6000001,6000010,6000012
6000012,영웅가챠120회,AchievementHeroGacha120,Normal,HeroGacha,120,YellowGem,10,6000001,6000011,6000013
6000013,영웅가챠130회,AchievementHeroGacha130,Normal,HeroGacha,130,BlueGem,10,6000001,6000012,6000014
6000014,영웅가챠140회,AchievementHeroGacha140,Normal,HeroGacha,140,GreenGem,10,6000001,6000013,6000015
6000015,영웅가챠150회,AchievementHeroGacha150,Normal,HeroGacha,150,YellowGem,10,6000001,6000014,6000016
6000016,영웅가챠160회,AchievementHeroGacha160,Normal,HeroGacha,160,BlueGem,10,6000001,6000015,6000017
6000017,영웅가챠170회,AchievementHeroGacha170,Normal,HeroGacha,170,GreenGem,10,6000001,6000016,6000018
6000018,영웅가챠180회,AchievementHeroGacha180,Normal,HeroGacha,180,YellowGem,10,6000001,6000017,6000019
6000019,영웅가챠190회,AchievementHeroGacha190,Normal,HeroGacha,190,BlueGem,10,6000001,6000018,6000020
6000020,영웅가챠200회,AchievementHeroGacha200,Normal,HeroGacha,200,GreenGem,10,6000001,6000019,6000021
6000021,영웅가챠210회,AchievementHeroGacha210,Normal,HeroGacha,210,YellowGem,10,6000001,6000020,
7000001,동료가챠10회,AchievementBuddyGacha10,Normal,BuddyGacha,10,Dia,200,7000001,,7000002
7000002,동료가챠20회,AchievementBuddyGacha20,Normal,BuddyGacha,20,Dia,200,7000001,7000001,7000003
7000003,동료가챠30회,AchievementBuddyGacha30,Normal,BuddyGacha,30,Dia,200,7000001,7000002,7000004
7000004,동료가챠40회,AchievementBuddyGacha40,Normal,BuddyGacha,40,Dia,200,7000001,7000003,7000005
7000005,동료가챠50회,AchievementBuddyGacha50,Normal,BuddyGacha,50,Dia,200,7000001,7000004,7000006
7000006,동료가챠60회,AchievementBuddyGacha60,Normal,BuddyGacha,60,Dia,200,7000001,7000005,7000007
7000007,동료가챠70회,AchievementBuddyGacha70,Normal,BuddyGacha,70,Dia,200,7000001,7000006,7000008
7000008,동료가챠80회,AchievementBuddyGacha80,Normal,BuddyGacha,80,Dia,200,7000001,7000007,7000009
7000009,동료가챠90회,AchievementBuddyGacha90,Normal,BuddyGacha,90,Dia,200,7000001,7000008,7000010
7000010,동료가챠100회,AchievementBuddyGacha100,Normal,BuddyGacha,100,Dia,200,7000001,7000009,7000011
7000011,동료가챠110회,AchievementBuddyGacha110,Normal,BuddyGacha,110,Dia,200,7000001,7000010,7000012
7000012,동료가챠120회,AchievementBuddyGacha120,Normal,BuddyGacha,120,Dia,200,7000001,7000011,7000013
7000013,동료가챠130회,AchievementBuddyGacha130,Normal,BuddyGacha,130,Dia,200,7000001,7000012,7000014
7000014,동료가챠140회,AchievementBuddyGacha140,Normal,BuddyGacha,140,Dia,200,7000001,7000013,7000015
7000015,동료가챠150회,AchievementBuddyGacha150,Normal,BuddyGacha,150,Dia,200,7000001,7000014,7000016
7000016,동료가챠160회,AchievementBuddyGacha160,Normal,BuddyGacha,160,Dia,200,7000001,7000015,7000017
7000017,동료가챠170회,AchievementBuddyGacha170,Normal,BuddyGacha,170,Dia,200,7000001,7000016,7000018
7000018,동료가챠180회,AchievementBuddyGacha180,Normal,BuddyGacha,180,Dia,200,7000001,7000017,7000019
7000019,동료가챠190회,AchievementBuddyGacha190,Normal,BuddyGacha,190,Dia,200,7000001,7000018,7000020
7000020,동료가챠200회,AchievementBuddyGacha200,Normal,BuddyGacha,200,Dia,200,7000001,7000019,
8000001,영웅스킬업10회,AchievementHeroSkillUp10,Normal,HeroSkillUp,10,BlueGem,10,8000001,,8000002
8000002,영웅스킬업20회,AchievementHeroSkillUp20,Normal,HeroSkillUp,20,GreenGem,10,8000001,8000001,8000003
8000003,영웅스킬업30회,AchievementHeroSkillUp30,Normal,HeroSkillUp,30,YellowGem,10,8000001,8000002,8000004
8000004,영웅스킬업40회,AchievementHeroSkillUp40,Normal,HeroSkillUp,40,BlueGem,10,8000001,8000003,8000005
8000005,영웅스킬업50회,AchievementHeroSkillUp50,Normal,HeroSkillUp,50,GreenGem,10,8000001,8000004,8000006
8000006,영웅스킬업60회,AchievementHeroSkillUp60,Normal,HeroSkillUp,60,YellowGem,10,8000001,8000005,8000007
8000007,영웅스킬업70회,AchievementHeroSkillUp70,Normal,HeroSkillUp,70,BlueGem,10,8000001,8000006,8000008
8000008,영웅스킬업80회,AchievementHeroSkillUp80,Normal,HeroSkillUp,80,GreenGem,10,8000001,8000007,8000009
8000009,영웅스킬업90회,AchievementHeroSkillUp90,Normal,HeroSkillUp,90,YellowGem,10,8000001,8000008,8000010
8000010,영웅스킬업100회,AchievementHeroSkillUp100,Normal,HeroSkillUp,100,BlueGem,10,8000001,8000009,8000011
8000011,영웅스킬업110회,AchievementHeroSkillUp110,Normal,HeroSkillUp,110,GreenGem,10,8000001,8000010,8000012
8000012,영웅스킬업120회,AchievementHeroSkillUp120,Normal,HeroSkillUp,120,YellowGem,10,8000001,8000011,8000013
8000013,영웅스킬업130회,AchievementHeroSkillUp130,Normal,HeroSkillUp,130,BlueGem,10,8000001,8000012,8000014
8000014,영웅스킬업140회,AchievementHeroSkillUp140,Normal,HeroSkillUp,140,GreenGem,10,8000001,8000013,8000015
8000015,영웅스킬업150회,AchievementHeroSkillUp150,Normal,HeroSkillUp,150,YellowGem,10,8000001,8000014,8000016
8000016,영웅스킬업160회,AchievementHeroSkillUp160,Normal,HeroSkillUp,160,BlueGem,10,8000001,8000015,8000017
8000017,영웅스킬업170회,AchievementHeroSkillUp170,Normal,HeroSkillUp,170,GreenGem,10,8000001,8000016,8000018
8000018,영웅스킬업180회,AchievementHeroSkillUp180,Normal,HeroSkillUp,180,YellowGem,10,8000001,8000017,8000019
8000019,영웅스킬업190회,AchievementHeroSkillUp190,Normal,HeroSkillUp,190,BlueGem,10,8000001,8000018,8000020
8000020,영웅스킬업200회,AchievementHeroSkillUp200,Normal,HeroSkillUp,200,GreenGem,10,8000001,8000019,8000021
8000021,영웅스킬업210회,AchievementHeroSkillUp210,Normal,HeroSkillUp,210,YellowGem,10,8000001,8000020,
9000001,영웅레벨업10회,AchievementHeroLevelUp10,Normal,HeroLevelUp,10,Dia,50,9000001,,9000002
9000002,영웅레벨업20회,AchievementHeroLevelUp20,Normal,HeroLevelUp,20,Dia,50,9000001,9000001,9000003
9000003,영웅레벨업30회,AchievementHeroLevelUp30,Normal,HeroLevelUp,30,Dia,50,9000001,9000002,9000004
9000004,영웅레벨업40회,AchievementHeroLevelUp40,Normal,HeroLevelUp,40,Dia,50,9000001,9000003,9000005
9000005,영웅레벨업50회,AchievementHeroLevelUp50,Normal,HeroLevelUp,50,Dia,50,9000001,9000004,9000006
9000006,영웅레벨업60회,AchievementHeroLevelUp60,Normal,HeroLevelUp,60,Dia,50,9000001,9000005,9000007
9000007,영웅레벨업70회,AchievementHeroLevelUp70,Normal,HeroLevelUp,70,Dia,50,9000001,9000006,9000008
9000008,영웅레벨업80회,AchievementHeroLevelUp80,Normal,HeroLevelUp,80,Dia,50,9000001,9000007,9000009
9000009,영웅레벨업90회,AchievementHeroLevelUp90,Normal,HeroLevelUp,90,Dia,50,9000001,9000008,9000010
9000010,영웅레벨업100회,AchievementHeroLevelUp100,Normal,HeroLevelUp,100,Dia,50,9000001,9000009,9000011
9000011,영웅레벨업110회,AchievementHeroLevelUp110,Normal,HeroLevelUp,110,Dia,50,9000001,9000010,9000012
9000012,영웅레벨업120회,AchievementHeroLevelUp120,Normal,HeroLevelUp,120,Dia,50,9000001,9000011,9000013
9000013,영웅레벨업130회,AchievementHeroLevelUp130,Normal,HeroLevelUp,130,Dia,50,9000001,9000012,9000014
9000014,영웅레벨업140회,AchievementHeroLevelUp140,Normal,HeroLevelUp,140,Dia,50,9000001,9000013,9000015
9000015,영웅레벨업150회,AchievementHeroLevelUp150,Normal,HeroLevelUp,150,Dia,50,9000001,9000014,9000016
9000016,영웅레벨업160회,AchievementHeroLevelUp160,Normal,HeroLevelUp,160,Dia,50,9000001,9000015,9000017
9000017,영웅레벨업170회,AchievementHeroLevelUp170,Normal,HeroLevelUp,170,Dia,50,9000001,9000016,9000018
9000018,영웅레벨업180회,AchievementHeroLevelUp180,Normal,HeroLevelUp,180,Dia,50,9000001,9000017,9000019
9000019,영웅레벨업190회,AchievementHeroLevelUp190,Normal,HeroLevelUp,190,Dia,50,9000001,9000018,9000020
9000020,영웅레벨업200회,AchievementHeroLevelUp200,Normal,HeroLevelUp,200,Dia,50,9000001,9000019,
10000001,동료레벨업1회,AchievementBuddyLevelUp1,Normal,BuddyLevelUp,1,Dia,50,10000001,,10000002
10000002,동료레벨업2회,AchievementBuddyLevelUp2,Normal,BuddyLevelUp,2,Dia,50,10000001,10000001,10000003
10000003,동료레벨업3회,AchievementBuddyLevelUp3,Normal,BuddyLevelUp,3,Dia,50,10000001,10000002,10000004
10000004,동료레벨업4회,AchievementBuddyLevelUp4,Normal,BuddyLevelUp,4,Dia,50,10000001,10000003,10000005
10000005,동료레벨업5회,AchievementBuddyLevelUp5,Normal,BuddyLevelUp,5,Dia,50,10000001,10000004,10000006
10000006,동료레벨업6회,AchievementBuddyLevelUp6,Normal,BuddyLevelUp,6,Dia,50,10000001,10000005,10000007
10000007,동료레벨업7회,AchievementBuddyLevelUp7,Normal,BuddyLevelUp,7,Dia,50,10000001,10000006,10000008
10000008,동료레벨업8회,AchievementBuddyLevelUp8,Normal,BuddyLevelUp,8,Dia,50,10000001,10000007,10000009
10000009,동료레벨업9회,AchievementBuddyLevelUp9,Normal,BuddyLevelUp,9,Dia,50,10000001,10000008,10000010
10000010,동료레벨업10회,AchievementBuddyLevelUp10,Normal,BuddyLevelUp,10,Dia,50,10000001,10000009,
11000001,동료스킬업1회,AchievementBuddySkillUp1,Normal,BuddySkillUp,1,Gold,1000,11000001,,11000002
11000002,동료스킬업2회,AchievementBuddySkillUp2,Normal,BuddySkillUp,2,Gold,1000,11000001,11000001,11000003
11000003,동료스킬업3회,AchievementBuddySkillUp3,Normal,BuddySkillUp,3,Gold,1000,11000001,11000002,11000004
11000004,동료스킬업4회,AchievementBuddySkillUp4,Normal,BuddySkillUp,4,Gold,1000,11000001,11000003,11000005
11000005,동료스킬업5회,AchievementBuddySkillUp5,Normal,BuddySkillUp,5,Gold,1000,11000001,11000004,11000006
11000006,동료스킬업6회,AchievementBuddySkillUp6,Normal,BuddySkillUp,6,Gold,1000,11000001,11000005,11000007
11000007,동료스킬업7회,AchievementBuddySkillUp7,Normal,BuddySkillUp,7,Gold,1000,11000001,11000006,11000008
11000008,동료스킬업8회,AchievementBuddySkillUp8,Normal,BuddySkillUp,8,Gold,1000,11000001,11000007,11000009
11000009,동료스킬업9회,AchievementBuddySkillUp9,Normal,BuddySkillUp,9,Gold,1000,11000001,11000008,11000010
11000010,동료스킬업10회,AchievementBuddySkillUp10,Normal,BuddySkillUp,10,Gold,1000,11000001,11000009,
